FUT.AFF,,,,,,,,,
1PL,,,,n a + n a + Σ,,n a + Σ,default,,optional_plural
2SG,n a + n a + Σ,n a + n a + Σ + u,,,n a + Σ,n a + Σ,default,,
2PL,n a + n a + Σ,n a + n a + Σ,,,n a + Σ,n a + Σ,default,,optional_plural
2PL,n a + n a + Σ + u,n a + n a + Σ + u,,,n a + Σ + u,n a + Σ + u,default,,
3SG,a + n a + Σ,a + n a + Σ + u,a + n a + Σ,a + n a + Σ + u,a + Σ,a + Σ + u,default,,
3SG,,,,a + n a + Σ,,a + Σ,default,,optional_plural
3PL,a + n a + Σ,a + n a + Σ,a + n a + Σ,a + n a + Σ,a + Σ,a + Σ,default,,optional_plural
3PL,a + n a + Σ + u,a + n a + Σ + u,a + n a + Σ + u,a + n a + Σ + u,a + Σ + u,a + Σ + u,default,,
NFUT.NEG,,,,,,,,,
A/O,1SG,1PL,2SG,2PL,3SG,3PL,paradigm_tag,variants_tag,overabundance_tag
1SG,,,n a + Σ + m a k + i ŋ,n a + Σ + u + m a k + i ŋ,Σ + m a k + i ŋ,Σ + u + m a k + i ŋ,default,dialect_var,
1SG,,,n a + Σ + m a k + u ŋ,n a + Σ + u + m a k + u ŋ,Σ + m a k + u ŋ,Σ + u + m a k + u ŋ,default,,
1SG,,,,n a + Σ + m a k + i ŋ,,Σ + m a k + i ŋ,default,dialect_var,optional_plural
1SG,,,,n a + Σ + m a k + u ŋ,,Σ + m a k + u ŋ,default,,optional_plural
1PL,,,n a + Σ + m a k + m e,n a + Σ + u + m a k + m e,Σ + m a k + m e,Σ + u + m a k + m e,default,,
1PL,,,,n a + Σ + m a k + m e,,Σ + m a k + m e,default,,optional_plural
2SG,n a + Σ + m a k + ts e,n a + Σ + u + m a k + ts e,,,Σ + m a k + ts e,Σ + u + m a k + ts e,default,,
2SG,,,,,,Σ + m a k + ts e,default,,optional_plural
2PL,Σ + m a k + ts e,n a + Σ + m a k + ts e,,,Σ + m a k + ts e,Σ + m a k + ts e,default,,optional_plural
2PL,Σ + u + m a k + ts e,n a + Σ + u + m a k + ts e,,,Σ + u + m a k + ts e,Σ + u + m a k + ts e,default,,
3SG,n a + Σ + m a k,n a + Σ + u + m a k,n a + Σ + m a k,n a + Σ + m a k,Σ + m a k,Σ + u + m a k,default,,
3SG,,n a + Σ + m a k,,,,Σ + m a k,default,,optional_plural
3PL,n a + Σ + m a k,n a + Σ + m a k,n a + Σ + m a k,n a + Σ + m a k,Σ + m a k,Σ + m a k,default,,optional_plural
3PL,n a + Σ + u + m a k,n a + Σ + u + m a k,n a + Σ + u + m a k,n a + Σ + u + m a k,Σ + u + m a k,Σ + u + m a k,default,,
