form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,paradigm_tag,variants_tag,overabundance_tag,source,page,language_id
ranglong086,mu,3.sg.3.sg.fut.aff,ēimu rang,ēiΣ rang,ēi+Σ+rang,eei Σ r a ŋ,eei + Σ + r a ŋ,rang_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong087,mu,3.sg.3.pl.fut.aff,mu u inti,Σ u inti,Σ+u+in+ti,Σ u i n t i,Σ + u + i n + t i,ti_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong088,mu,3.sg.3.pl.fut.aff,mu inti,Σ inti,Σ+in+ti,Σ i n t i,Σ + i n + t i,ti_fut,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong089,mu,3.sg.3.pl.fut.aff,ēimu u rang,ēiΣ u rang,ēi+Σ+u+rang,eei Σ u r a ŋ,eei + Σ + u + r a ŋ,rang_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong090,mu,3.pl.3.sg.fut.aff,mu u inti,Σ u inti,Σ+u+in+ti,Σ u i n t i,Σ + u + i n + t i,ti_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong091,mu,3.pl.3.sg.fut.aff,mu inti,Σ inti,Σ+in+ti,Σ i n t i,Σ + i n + t i,ti_fut,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong092,mu,3.pl.3.sg.fut.aff,ēimu u rang,ēiΣ u rang,ēi+Σ+u+rang,eei Σ u r a ŋ,eei + Σ + u + r a ŋ,rang_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong093,mu,3.pl.3.sg.fut.aff,ēimu rang,ēiΣ rang,ēi+Σ+rang,eei Σ r a ŋ,eei + Σ + r a ŋ,rang_fut,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong094,mu,3.pl.3.pl.fut.aff,mu u inti,Σ u inti,Σ+u+in+ti,Σ u i n t i,Σ + u + i n + t i,ti_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong095,mu,3.pl.3.pl.fut.aff,mu inti,Σ inti,Σ+in+ti,Σ i n t i,Σ + i n + t i,ti_fut,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong096,mu,3.pl.3.pl.fut.aff,ēimu u rang,ēiΣ u rang,ēi+Σ+u+rang,eei Σ u r a ŋ,eei + Σ + u + r a ŋ,rang_fut,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong097,mu,3.pl.3.pl.fut.aff,ēimu rang,ēiΣ rang,ēi+Σ+rang,eei Σ r a ŋ,eei + Σ + r a ŋ,rang_fut,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong098,se,1.sg.fut.neg,se noning,Σ noning,Σ+no+ni+ng,Σ n o n i ŋ,Σ + n o + n i + ŋ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong099,se,1.pl.fut.neg,se nomani,Σ nomani,Σ+no+ma+ni,Σ n o m a n i,Σ + n o + m a + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong100,mu,1.sg.2.sg.fut.neg,namu noning,naΣ noning,na+Σ+no+ni+ng,n a Σ n o n i ŋ,n a + Σ + n o + n i + ŋ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong101,mu,1.sg.2.pl.fut.neg,namu u nomani,naΣ u nomani,na+Σ+u+no+ma+ni,n a Σ u n o m a n i,n a + Σ + u + n o + m a + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong102,mu,1.sg.2.pl.fut.neg,namu nomani,naΣ nomani,na+Σ+no+ma+ni,n a Σ n o m a n i,n a + Σ + n o + m a + n i,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
