form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,paradigm_tag,variants_tag,overabundance_tag,source,page,language_id
ranglong193,mu,3.sg.3.pl.nfut.aff,amu,aΣ,a+Σ,a Σ,a + Σ,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong194,mu,3.pl.3.sg.nfut.aff,amu u,aΣ u,a+Σ+u,a Σ u,a + Σ + u,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong195,mu,3.pl.3.sg.nfut.aff,amu,aΣ,a+Σ,a Σ,a + Σ,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong196,mu,3.pl.3.pl.nfut.aff,amu u,aΣ u,a+Σ+u,a Σ u,a + Σ + u,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong197,mu,3.pl.3.pl.nfut.aff,amu,aΣ,a+Σ,a Σ,a + Σ,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong198,se,1.sg.nfut.neg,se making,Σ making,Σ+mak+ing,Σ m a k i ŋ,Σ + m a k + i ŋ,,dialect_var,,Brown2025Ranglong,nopage,ranglong
ranglong199,se,1.sg.nfut.neg,se makung,Σ makung,Σ+mak+ung,Σ m a k u ŋ,Σ + m a k + u ŋ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong200,se,1.pl.nfut.neg,se makme,Σ makme,Σ+mak+me,Σ m a k m e,Σ + m a k + m e,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong201,mu,1.sg.2.sg.nfut.neg,namu making,naΣ making,na+Σ+mak+ing,n a Σ m a k i ŋ,n a + Σ + m a k + i ŋ,,dialect_var,,Brown2025Ranglong,nopage,ranglong
ranglong202,mu,1.sg.2.sg.nfut.neg,namu makung,naΣ makung,na+Σ+mak+ung,n a Σ m a k u ŋ,n a + Σ + m a k + u ŋ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong203,mu,1.sg.2.pl.nfut.neg,namu u making,naΣ u making,na+Σ+u+mak+ing,n a Σ u m a k i ŋ,n a + Σ + u + m a k + i ŋ,,dialect_var,,Brown2025Ranglong,nopage,ranglong
ranglong204,mu,1.sg.2.pl.nfut.neg,namu making,naΣ making,na+Σ+mak+ing,n a Σ m a k i ŋ,n a + Σ + m a k + i ŋ,,dialect_var,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong205,mu,1.sg.2.pl.nfut.neg,namu u makung,naΣ u makung,na+Σ+u+mak+ung,n a Σ u m a k u ŋ,n a + Σ + u + m a k + u ŋ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong206,mu,1.sg.2.pl.nfut.neg,namu makung,naΣ makung,na+Σ+mak+ung,n a Σ m a k u ŋ,n a + Σ + m a k + u ŋ,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong207,mu,1.pl.2.sg.nfut.neg,namu makme,naΣ makme,na+Σ+mak+me,n a Σ m a k m e,n a + Σ + m a k + m e,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong208,mu,1.pl.2.pl.nfut.neg,namu u makme,naΣ u makme,na+Σ+u+mak+me,n a Σ u m a k m e,n a + Σ + u + m a k + m e,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong209,mu,1.pl.2.pl.nfut.neg,namu makme,naΣ makme,na+Σ+mak+me,n a Σ m a k m e,n a + Σ + m a k + m e,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong210,mu,1.sg.3.sg.nfut.neg,mu making,Σ making,Σ+mak+ing,Σ m a k i ŋ,Σ + m a k + i ŋ,,dialect_var,,Brown2025Ranglong,nopage,ranglong
ranglong211,mu,1.sg.3.sg.nfut.neg,mu makung,Σ makung,Σ+mak+ung,Σ m a k u ŋ,Σ + m a k + u ŋ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong212,mu,1.sg.3.pl.nfut.neg,mu u making,Σ u making,Σ+u+mak+ing,Σ u m a k i ŋ,Σ + u + m a k + i ŋ,,dialect_var,,Brown2025Ranglong,nopage,ranglong
ranglong213,mu,1.sg.3.pl.nfut.neg,mu making,Σ making,Σ+mak+ing,Σ m a k i ŋ,Σ + m a k + i ŋ,,dialect_var,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong214,mu,1.sg.3.pl.nfut.neg,mu u makung,Σ u makung,Σ+u+mak+ung,Σ u m a k u ŋ,Σ + u + m a k + u ŋ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong215,mu,1.sg.3.pl.nfut.neg,mu makung,Σ makung,Σ+mak+ung,Σ m a k u ŋ,Σ + m a k + u ŋ,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong216,mu,1.pl.3.sg.nfut.neg,mu makme,Σ makme,Σ+mak+me,Σ m a k m e,Σ + m a k + m e,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong217,mu,1.pl.3.pl.nfut.neg,mu u makme,Σ u makme,Σ+u+mak+me,Σ u m a k m e,Σ + u + m a k + m e,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong218,mu,1.pl.3.pl.nfut.neg,mu makme,Σ makme,Σ+mak+me,Σ m a k m e,Σ + m a k + m e,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong219,se,2.sg.nfut.neg,se makche,Σ makche,Σ+mak+che,Σ m a k ts e,Σ + m a k + ts e,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong220,se,2.pl.nfut.neg,se u makche,Σ u makche,Σ+u+mak+che,Σ u m a k ts e,Σ + u + m a k + ts e,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong221,mu,2.sg.1.sg.nfut.neg,namu makche,naΣ makche,na+Σ+mak+che,n a Σ m a k ts e,n a + Σ + m a k + ts e,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong222,mu,2.sg.1.pl.nfut.neg,namu u makche,naΣ u makche,na+Σ+u+mak+che,n a Σ u m a k ts e,n a + Σ + u + m a k + ts e,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong223,mu,2.pl.1.sg.nfut.neg,mu u makche,Σ u makche,Σ+u+mak+che,Σ u m a k ts e,Σ + u + m a k + ts e,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong224,mu,2.pl.1.sg.nfut.neg,mu makche,Σ makche,Σ+mak+che,Σ m a k ts e,Σ + m a k + ts e,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong225,mu,2.pl.1.pl.nfut.neg,namu u makche,naΣ u makche,na+Σ+u+mak+che,n a Σ u m a k ts e,n a + Σ + u + m a k + ts e,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong226,mu,2.pl.1.pl.nfut.neg,namu makche,naΣ makche,na+Σ+mak+che,n a Σ m a k ts e,n a + Σ + m a k + ts e,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong227,mu,2.sg.3.sg.nfut.neg,mu makche,Σ makche,Σ+mak+che,Σ m a k ts e,Σ + m a k + ts e,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong228,mu,2.sg.3.pl.nfut.neg,mu u makche,Σ u makche,Σ+u+mak+che,Σ u m a k ts e,Σ + u + m a k + ts e,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong229,mu,2.sg.3.pl.nfut.neg,mu makche,Σ makche,Σ+mak+che,Σ m a k ts e,Σ + m a k + ts e,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong230,mu,2.pl.3.sg.nfut.neg,mu u makche,Σ u makche,Σ+u+mak+che,Σ u m a k ts e,Σ + u + m a k + ts e,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong231,mu,2.pl.3.sg.nfut.neg,mu makche,Σ makche,Σ+mak+che,Σ m a k ts e,Σ + m a k + ts e,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong232,mu,2.pl.3.pl.nfut.neg,mu u makche,Σ u makche,Σ+u+mak+che,Σ u m a k ts e,Σ + u + m a k + ts e,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong233,mu,2.pl.3.pl.nfut.neg,mu makche,Σ makche,Σ+mak+che,Σ m a k ts e,Σ + m a k + ts e,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong234,se,3.sg.nfut.neg,se mak,Σ mak,Σ+mak,Σ m a k,Σ + m a k,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong235,se,3.pl.nfut.neg,se u mak,Σ u mak,Σ+u+mak,Σ u m a k,Σ + u + m a k,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong236,mu,3.sg.1.sg.nfut.neg,namu mak,naΣ mak,na+Σ+mak,n a Σ m a k,n a + Σ + m a k,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong237,mu,3.sg.1.pl.nfut.neg,namu u mak,naΣ u mak,na+Σ+u+mak,n a Σ u m a k,n a + Σ + u + m a k,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong238,mu,3.sg.1.pl.nfut.neg,namu mak,naΣ mak,na+Σ+mak,n a Σ m a k,n a + Σ + m a k,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong239,mu,3.pl.1.sg.nfut.neg,namu u mak,naΣ u mak,na+Σ+u+mak,n a Σ u m a k,n a + Σ + u + m a k,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong240,mu,3.pl.1.sg.nfut.neg,namu mak,naΣ mak,na+Σ+mak,n a Σ m a k,n a + Σ + m a k,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong241,mu,3.pl.1.pl.nfut.neg,namu u mak,naΣ u mak,na+Σ+u+mak,n a Σ u m a k,n a + Σ + u + m a k,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong242,mu,3.pl.1.pl.nfut.neg,namu mak,naΣ mak,na+Σ+mak,n a Σ m a k,n a + Σ + m a k,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong243,mu,3.sg.2.sg.nfut.neg,namu mak,naΣ mak,na+Σ+mak,n a Σ m a k,n a + Σ + m a k,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong244,mu,3.sg.2.pl.nfut.neg,namu mak,naΣ mak,na+Σ+mak,n a Σ m a k,n a + Σ + m a k,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong245,mu,3.pl.2.sg.nfut.neg,namu u mak,naΣ u mak,na+Σ+u+mak,n a Σ u m a k,n a + Σ + u + m a k,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong246,mu,3.pl.2.sg.nfut.neg,namu mak,naΣ mak,na+Σ+mak,n a Σ m a k,n a + Σ + m a k,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong247,mu,3.pl.2.pl.nfut.neg,namu u mak,naΣ u mak,na+Σ+u+mak,n a Σ u m a k,n a + Σ + u + m a k,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong248,mu,3.pl.2.pl.nfut.neg,namu mak,naΣ mak,na+Σ+mak,n a Σ m a k,n a + Σ + m a k,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong249,mu,3.sg.3.sg.nfut.neg,mu mak,Σ mak,Σ+mak,Σ m a k,Σ + m a k,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong250,mu,3.sg.3.pl.nfut.neg,mu u mak,Σ u mak,Σ+u+mak,Σ u m a k,Σ + u + m a k,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong251,mu,3.sg.3.pl.nfut.neg,mu mak,Σ mak,Σ+mak,Σ m a k,Σ + m a k,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong252,mu,3.pl.3.sg.nfut.neg,mu u mak,Σ u mak,Σ+u+mak,Σ u m a k,Σ + u + m a k,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong253,mu,3.pl.3.sg.nfut.neg,mu mak,Σ mak,Σ+mak,Σ m a k,Σ + m a k,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong254,mu,3.pl.3.pl.nfut.neg,mu u mak,Σ u mak,Σ+u+mak,Σ u m a k,Σ + u + m a k,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong255,mu,3.pl.3.pl.nfut.neg,mu mak,Σ mak,Σ+mak,Σ m a k,Σ + m a k,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
