morph_id,morph,position,in_cells,in_forms,language_id
ranglongM11,m a k,post,1.sg.nfut.neg; 1.sg.nfut.neg; 1.pl.nfut.neg; 1.sg.2.sg.nfut.neg; 1.sg.2.sg.nfut.neg; 1.sg.2.pl.nfut.neg; 1.sg.2.pl.nfut.neg; 1.sg.2.pl.nfut.neg; 1.sg.2.pl.nfut.neg; 1.pl.2.sg.nfut.neg; 1.pl.2.pl.nfut.neg; 1.pl.2.pl.nfut.neg; 1.sg.3.sg.nfut.neg; 1.sg.3.sg.nfut.neg; 1.sg.3.pl.nfut.neg; 1.sg.3.pl.nfut.neg; 1.sg.3.pl.nfut.neg; 1.sg.3.pl.nfut.neg; 1.pl.3.sg.nfut.neg; 1.pl.3.pl.nfut.neg; 1.pl.3.pl.nfut.neg; 2.sg.nfut.neg; 2.pl.nfut.neg; 2.sg.1.sg.nfut.neg; 2.sg.1.pl.nfut.neg; 2.pl.1.sg.nfut.neg; 2.pl.1.sg.nfut.neg; 2.pl.1.pl.nfut.neg; 2.pl.1.pl.nfut.neg; 2.sg.3.sg.nfut.neg; 2.sg.3.pl.nfut.neg; 2.sg.3.pl.nfut.neg; 2.pl.3.sg.nfut.neg; 2.pl.3.sg.nfut.neg; 2.pl.3.pl.nfut.neg; 2.pl.3.pl.nfut.neg; 3.sg.nfut.neg; 3.pl.nfut.neg; 3.sg.1.sg.nfut.neg; 3.sg.1.pl.nfut.neg; 3.sg.1.pl.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.nfut.neg; 3.pl.1.pl.nfut.neg; 3.sg.2.sg.nfut.neg; 3.sg.2.pl.nfut.neg; 3.pl.2.sg.nfut.neg; 3.pl.2.sg.nfut.neg; 3.pl.2.pl.nfut.neg; 3.pl.2.pl.nfut.neg; 3.sg.3.sg.nfut.neg; 3.sg.3.pl.nfut.neg; 3.sg.3.pl.nfut.neg; 3.pl.3.sg.nfut.neg; 3.pl.3.sg.nfut.neg; 3.pl.3.pl.nfut.neg; 3.pl.3.pl.nfut.neg,ranglong198; ranglong199; ranglong200; ranglong201; ranglong202; ranglong203; ranglong204; ranglong205; ranglong206; ranglong207; ranglong208; ranglong209; ranglong210; ranglong211; ranglong212; ranglong213; ranglong214; ranglong215; ranglong216; ranglong217; ranglong218; ranglong219; ranglong220; ranglong221; ranglong222; ranglong223; ranglong224; ranglong225; ranglong226; ranglong227; ranglong228; ranglong229; ranglong230; ranglong231; ranglong232; ranglong233; ranglong234; ranglong235; ranglong236; ranglong237; ranglong238; ranglong239; ranglong240; ranglong241; ranglong242; ranglong243; ranglong244; ranglong245; ranglong246; ranglong247; ranglong248; ranglong249; ranglong250; ranglong251; ranglong252; ranglong253; ranglong254; ranglong255,ranglong
ranglongM12,m e,post,1.pl.nfut.neg; 1.pl.2.sg.nfut.neg; 1.pl.2.pl.nfut.neg; 1.pl.2.pl.nfut.neg; 1.pl.3.sg.nfut.neg; 1.pl.3.pl.nfut.neg; 1.pl.3.pl.nfut.neg,ranglong200; ranglong207; ranglong208; ranglong209; ranglong216; ranglong217; ranglong218,ranglong
ranglongM13,n a,post,2.pl.1.sg.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.pl.fut.aff; 2.pl.1.pl.fut.aff; 2.sg.3.sg.fut.aff; 2.sg.3.pl.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.pl.fut.aff; 2.pl.3.pl.fut.aff,ranglong037; ranglong038; ranglong041; ranglong042; ranglong045; ranglong047; ranglong049; ranglong050; ranglong053; ranglong054,ranglong
ranglongM14,n a,pre,1.sg.2.sg.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.sg.2.pl.fut.aff; 1.sg.2.pl.fut.aff; 1.sg.2.pl.fut.aff; 1.pl.2.sg.fut.aff; 1.pl.2.sg.fut.aff; 1.pl.2.pl.fut.aff; 1.pl.2.pl.fut.aff; 1.pl.2.pl.fut.aff; 1.pl.2.pl.fut.aff; 2.sg.1.sg.fut.aff; 2.sg.1.pl.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.pl.fut.aff; 2.pl.1.pl.fut.aff; 2.pl.1.pl.fut.aff; 2.pl.1.pl.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.sg.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.pl.fut.aff; 3.sg.1.pl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.fut.aff; 3.pl.1.pl.fut.aff; 3.pl.1.pl.fut.aff; 3.pl.1.pl.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.pl.fut.aff; 3.sg.2.pl.fut.aff; 3.sg.2.pl.fut.aff; 3.sg.2.pl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.pl.2.pl.fut.aff; 3.pl.2.pl.fut.aff; 3.pl.2.pl.fut.aff; 1.sg.2.sg.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.2.pl.fut.neg; 1.pl.2.sg.fut.neg; 1.pl.2.pl.fut.neg; 1.pl.2.pl.fut.neg; 2.sg.1.sg.fut.neg; 2.sg.1.pl.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.pl.fut.neg; 2.pl.1.pl.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.pl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.fut.neg; 3.pl.1.pl.fut.neg; 3.sg.2.sg.fut.neg; 3.sg.2.pl.fut.neg; 3.sg.2.pl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 3.pl.2.pl.fut.neg; 1.pl.nfut.aff; 1.sg.2.sg.nfut.aff; 1.sg.2.pl.nfut.aff; 1.sg.2.pl.nfut.aff; 1.pl.2.sg.nfut.aff; 1.pl.2.pl.nfut.aff; 1.pl.2.pl.nfut.aff; 1.pl.3.sg.nfut.aff; 1.pl.3.pl.nfut.aff; 1.pl.3.pl.nfut.aff; 2.sg.nfut.aff; 2.pl.nfut.aff; 2.sg.1.sg.nfut.aff; 2.sg.1.pl.nfut.aff; 2.pl.1.sg.nfut.aff; 2.pl.1.sg.nfut.aff; 2.pl.1.pl.nfut.aff; 2.pl.1.pl.nfut.aff; 2.sg.3.sg.nfut.aff; 2.sg.3.pl.nfut.aff; 2.pl.3.sg.nfut.aff; 2.pl.3.sg.nfut.aff; 2.pl.3.pl.nfut.aff; 2.pl.3.pl.nfut.aff; 3.sg.1.sg.nfut.aff; 3.sg.1.pl.nfut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.pl.nfut.aff; 3.pl.1.pl.nfut.aff; 3.sg.2.sg.nfut.aff; 3.sg.2.pl.nfut.aff; 3.sg.2.pl.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.pl.nfut.aff; 3.pl.2.pl.nfut.aff; 1.sg.2.sg.nfut.neg; 1.sg.2.sg.nfut.neg; 1.sg.2.pl.nfut.neg; 1.sg.2.pl.nfut.neg; 1.sg.2.pl.nfut.neg; 1.sg.2.pl.nfut.neg; 1.pl.2.sg.nfut.neg; 1.pl.2.pl.nfut.neg; 1.pl.2.pl.nfut.neg; 2.sg.1.sg.nfut.neg; 2.sg.1.pl.nfut.neg; 2.pl.1.pl.nfut.neg; 2.pl.1.pl.nfut.neg; 3.sg.1.sg.nfut.neg; 3.sg.1.pl.nfut.neg; 3.sg.1.pl.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.nfut.neg; 3.pl.1.pl.nfut.neg; 3.sg.2.sg.nfut.neg; 3.sg.2.pl.nfut.neg; 3.pl.2.sg.nfut.neg; 3.pl.2.sg.nfut.neg; 3.pl.2.pl.nfut.neg; 3.pl.2.pl.nfut.neg,ranglong009; ranglong010; ranglong011; ranglong012; ranglong013; ranglong014; ranglong015; ranglong016; ranglong017; ranglong018; ranglong019; ranglong020; ranglong035; ranglong036; ranglong037; ranglong038; ranglong039; ranglong040; ranglong041; ranglong042; ranglong043; ranglong044; ranglong049; ranglong050; ranglong051; ranglong052; ranglong059; ranglong060; ranglong061; ranglong062; ranglong063; ranglong064; ranglong065; ranglong066; ranglong067; ranglong068; ranglong069; ranglong070; ranglong071; ranglong072; ranglong073; ranglong074; ranglong075; ranglong076; ranglong077; ranglong078; ranglong079; ranglong080; ranglong081; ranglong082; ranglong083; ranglong084; ranglong100; ranglong101; ranglong102; ranglong105; ranglong106; ranglong107; ranglong114; ranglong115; ranglong116; ranglong117; ranglong118; ranglong119; ranglong128; ranglong129; ranglong130; ranglong131; ranglong132; ranglong133; ranglong134; ranglong135; ranglong136; ranglong137; ranglong138; ranglong139; ranglong140; ranglong149; ranglong150; ranglong151; ranglong152; ranglong153; ranglong154; ranglong155; ranglong159; ranglong160; ranglong161; ranglong162; ranglong163; ranglong164; ranglong165; ranglong166; ranglong167; ranglong168; ranglong169; ranglong170; ranglong171; ranglong172; ranglong173; ranglong174; ranglong175; ranglong178; ranglong179; ranglong180; ranglong181; ranglong182; ranglong183; ranglong184; ranglong185; ranglong186; ranglong187; ranglong188; ranglong189; ranglong190; ranglong201; ranglong202; ranglong203; ranglong204; ranglong205; ranglong206; ranglong207; ranglong208; ranglong209; ranglong221; ranglong222; ranglong225; ranglong226; ranglong236; ranglong237; ranglong238; ranglong239; ranglong240; ranglong241; ranglong242; ranglong243; ranglong244; ranglong245; ranglong246; ranglong247; ranglong248,ranglong
ranglongM15,n a ŋ,free,2.sg; 2.pl,ranglong003; ranglong004,ranglong
ranglongM16,n ee j,pre,1.pl.fut.aff; 1.pl.2.sg.fut.aff; 1.pl.2.pl.fut.aff; 1.pl.2.pl.fut.aff; 1.pl.3.sg.fut.aff; 1.pl.3.pl.fut.aff; 1.pl.3.pl.fut.aff; 2.sg.fut.aff; 2.pl.fut.aff; 2.sg.1.sg.fut.aff; 2.sg.1.pl.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.pl.fut.aff; 2.pl.1.pl.fut.aff; 2.sg.3.sg.fut.aff; 2.sg.3.pl.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.pl.fut.aff; 2.pl.3.pl.fut.aff,ranglong008; ranglong016; ranglong019; ranglong020; ranglong028; ranglong031; ranglong032; ranglong033; ranglong034; ranglong035; ranglong036; ranglong039; ranglong040; ranglong043; ranglong044; ranglong046; ranglong048; ranglong051; ranglong052; ranglong055; ranglong056,ranglong
ranglongM17,n i,free,1.pl; 2.pl; 3.pl,ranglong002; ranglong004; ranglong006,ranglong
ranglongM18,n i,post,1.sg.fut.neg; 1.pl.fut.neg; 1.sg.2.sg.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.pl.2.sg.fut.neg; 1.pl.2.pl.fut.neg; 1.pl.2.pl.fut.neg; 1.sg.3.sg.fut.neg; 1.pl.3.sg.fut.neg; 1.pl.3.pl.fut.neg; 1.pl.3.pl.fut.neg; 2.sg.fut.neg; 2.pl.fut.neg; 2.sg.1.sg.fut.neg; 2.sg.1.pl.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.pl.fut.neg; 2.pl.1.pl.fut.neg; 2.sg.3.sg.fut.neg; 2.sg.3.pl.fut.neg; 2.pl.3.sg.fut.neg; 2.pl.3.sg.fut.neg; 2.pl.3.pl.fut.neg; 2.pl.3.pl.fut.neg; 3.sg.fut.neg; 3.pl.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.pl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.fut.neg; 3.pl.1.pl.fut.neg; 3.sg.2.sg.fut.neg; 3.sg.2.pl.fut.neg; 3.sg.2.pl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 3.pl.2.pl.fut.neg; 3.sg.3.sg.fut.neg; 3.sg.3.pl.fut.neg; 3.sg.3.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg; 3.pl.3.pl.fut.neg,ranglong098; ranglong099; ranglong100; ranglong101; ranglong102; ranglong103; ranglong104; ranglong105; ranglong106; ranglong107; ranglong108; ranglong109; ranglong110; ranglong111; ranglong112; ranglong113; ranglong114; ranglong115; ranglong116; ranglong117; ranglong118; ranglong119; ranglong120; ranglong121; ranglong122; ranglong123; ranglong124; ranglong125; ranglong126; ranglong127; ranglong128; ranglong129; ranglong130; ranglong131; ranglong132; ranglong133; ranglong134; ranglong135; ranglong136; ranglong137; ranglong138; ranglong139; ranglong140; ranglong141; ranglong142; ranglong143; ranglong144; ranglong145; ranglong146; ranglong147,ranglong
ranglongM19,n o,post,1.sg.fut.neg; 1.pl.fut.neg; 1.sg.2.sg.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.pl.2.sg.fut.neg; 1.pl.2.pl.fut.neg; 1.pl.2.pl.fut.neg; 1.sg.3.sg.fut.neg; 1.pl.3.sg.fut.neg; 1.pl.3.pl.fut.neg; 1.pl.3.pl.fut.neg; 2.sg.fut.neg; 2.pl.fut.neg; 2.sg.1.sg.fut.neg; 2.sg.1.pl.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.pl.fut.neg; 2.pl.1.pl.fut.neg; 2.sg.3.sg.fut.neg; 2.sg.3.pl.fut.neg; 2.pl.3.sg.fut.neg; 2.pl.3.sg.fut.neg; 2.pl.3.pl.fut.neg; 2.pl.3.pl.fut.neg; 3.sg.fut.neg; 3.pl.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.pl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.fut.neg; 3.pl.1.pl.fut.neg; 3.sg.2.sg.fut.neg; 3.sg.2.pl.fut.neg; 3.sg.2.pl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 3.pl.2.pl.fut.neg; 3.sg.3.sg.fut.neg; 3.sg.3.pl.fut.neg; 3.sg.3.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg; 3.pl.3.pl.fut.neg,ranglong098; ranglong099; ranglong100; ranglong101; ranglong102; ranglong103; ranglong104; ranglong105; ranglong106; ranglong107; ranglong108; ranglong109; ranglong110; ranglong111; ranglong112; ranglong113; ranglong114; ranglong115; ranglong116; ranglong117; ranglong118; ranglong119; ranglong120; ranglong121; ranglong122; ranglong123; ranglong124; ranglong125; ranglong126; ranglong127; ranglong128; ranglong129; ranglong130; ranglong131; ranglong132; ranglong133; ranglong134; ranglong135; ranglong136; ranglong137; ranglong138; ranglong139; ranglong140; ranglong141; ranglong142; ranglong143; ranglong144; ranglong145; ranglong146; ranglong147,ranglong
ranglongM20,r a ŋ,post,1.sg.fut.aff; 1.pl.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.sg.2.pl.fut.aff; 1.pl.2.sg.fut.aff; 1.pl.2.pl.fut.aff; 1.pl.2.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff; 1.sg.3.pl.fut.aff; 1.pl.3.sg.fut.aff; 1.pl.3.pl.fut.aff; 1.pl.3.pl.fut.aff; 2.sg.fut.aff; 2.pl.fut.aff; 2.sg.1.sg.fut.aff; 2.sg.1.pl.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.pl.fut.aff; 2.pl.1.pl.fut.aff; 2.sg.3.sg.fut.aff; 2.sg.3.pl.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.pl.fut.aff; 2.pl.3.pl.fut.aff; 3.sg.fut.aff; 3.pl.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.pl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.fut.aff; 3.pl.1.pl.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.pl.fut.aff; 3.sg.2.pl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.pl.2.pl.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 3.pl.3.pl.fut.aff,ranglong007; ranglong008; ranglong010; ranglong013; ranglong014; ranglong016; ranglong019; ranglong020; ranglong022; ranglong025; ranglong026; ranglong028; ranglong031; ranglong032; ranglong033; ranglong034; ranglong035; ranglong036; ranglong039; ranglong040; ranglong043; ranglong044; ranglong046; ranglong048; ranglong051; ranglong052; ranglong055; ranglong056; ranglong057; ranglong058; ranglong060; ranglong062; ranglong065; ranglong066; ranglong069; ranglong070; ranglong072; ranglong075; ranglong076; ranglong079; ranglong080; ranglong083; ranglong084; ranglong086; ranglong089; ranglong092; ranglong093; ranglong096; ranglong097,ranglong
