grapheme_id,language_id
-,ranglong
a,ranglong
ch,ranglong
e,ranglong
i,ranglong
k,ranglong
m,ranglong
n,ranglong
ng,ranglong
o,ranglong
oi,ranglong
r,ranglong
s,ranglong
t,ranglong
u,ranglong
ē,ranglong
ēi,ranglong
Σ,ranglong
 ,ranglong
